AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage

"24719","19","C1, C4, C12, C15, C18, C19, C24, C41, C43, C45, C47, C52, C63, C70, C72, C79, C81, C87, C89","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","1005 (0402)","4.7u","CAPC1005X60N","01","","","SMT","Yes","X5R","20%","","6.3"
"24921","57","C2, C3, C5, C6, C7, C8, C9, C10, C11, C14, C17, C20, C21, C22, C23, C26, C27, C31, C32, C33, C35, C36, C37, C38, C39, C40, C51, C55, C56, C57, C58, C59, C60, C61, C62, C64, C65, C66, C67, C68, C69, C71, C73, C74, C75, C80, C82, C88, C90, C91, C92, C94, C95, C98, C101, C116, C117","470nF","KON 470nF X5R 6.3V SMD 20%","0603 (0201)","470n","CAPC0603X33N","01","","","SMT","Yes","X5R","20%","","6.3V"
"25341","2","C13, C34","10µF","KON 10µF 16V X5R SMD 20%","1608 (0603)","10u","CAPC1608X90N","01","","","SMT","Yes","X5R","20%","","16V"
"24718","5","C16, C86, C93, C96, C97","47µF","KON 47µF 6,3V  X5R SMD 20%","2012 (0805)","47u","CAPC2012X135N","01","","","SMT","Yes","X5R","20%","","6.3V"
"26184","1","C28","1nF","KON 1nF 50V SMD AEC-Q200","1005 (0402)","1n","CAPC1005X55N","01","","","SMT","","X7R","10%","","50V"
"23116","11","C42, C44, C46, C48, C50, C54, C77, C78, C83, C84, C85","100µF","KON 100µF 6,3V X5R SMD 20%","3216 (1206)","100u","CAPC3216X180N","01","","","SMT","Yes","X5R","20%","","6.3V"
"26183","2","C49, C53","100nF","KON 100nF 50V SMD AEC-Q200","1005 (0402)","100n","CAPC1005X55N","01","","","SMT","","X7R","10%","","50V"
"24212","1","D2","LED Red SML-P11UTT86","LED Rot SML-P11UTT86 SMD","1005 (0402)","","LEDC1006X25N_RED","01","","","SMT","Yes","","","",""
"26175","1","D3","NSR02F30NXT5G","NSR02F30NXT5G","DSN2 - 0201","","DIOC0603X30N","01","","Yes","SMT","","","","",""
"24682","2","D4, D5","PD3S230H","PD3S230H","PowerDI323","","PowerDI323","01","","","SMT","","","","",""
"24211","2","D6, D7","LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","1005 (0402)","","LEDC1006X25N_GREEN","01","","","SMT","Yes","","","",""
"26386","1","J1","Female Header, 2.54mm, 1row, 10pol.","Buchsenleiste 1 reihig präz. 10 pol.","","","BUCHSENLEISTE-2.54-10-1R","01","","","THT","","","","",""
"26387","2","J2, J3","Female Header, 2.54mm, 1row, 8pol.","Buchsenleiste 1 reihig präz. 8 pol.","","","BUCHSENLEISTE-2.54-8-1R","01","","","THT","","","","",""
"26388","1","J4","Female Header, 2.54mm, 1row, 6pol.","Buchsenleiste 1 reihig präz. 6 pol.","","","BUCHSENLEISTE-2.54-6-1R","01","","","THT","","","","",""
"23904","1","J5","Pin Header 2.54 2Row 8Pins","Stiftleiste gerade 2-reihig, 8pol.","","","STIFTLEISTE2_54 OG 2R-8","01","","Yes","THT","","","","",""
"22330","1","J7","JUMPER2.54-2","Stiftleiste gerade 1-reihig, 2pol.","","","JUMPER2_54-2","01","","Yes","THT","","","","",""
"25126","2","J8, J9","Micro USB AB Receptacle","Micro USB AB Buchse","Micro USB AB","","Micro USB ZX62-xx-5PA","01","","Yes","SMT","","","","",""
