Center-X(mm),Center-Y(mm),Comment,Description,Designator,Footprint,Layer,LibRef,Quantity,Rotation,Variant,Revision,Trenz-Stock,Value,AN,Case,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,Ref-X(mm),Ref-Y(mm)

"44.11","46.03","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C1","CAPC1005X60N","Top","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","44.11","46.03"
"28.96","29.37","470nF","KON 470nF X5R 6.3V SMD 20%","C2","CAPC0603X33N","Bottom","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.96","29.37"
"28.09","32.38","470nF","KON 470nF X5R 6.3V SMD 20%","C3","CAPC0603X33N","Bottom","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","28.09","32.38"
"28.09","34.33","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","C4","CAPC1005X60N","Bottom","24719","1","90","","01","","4.7u","24719","1005 (0402)","SMT","Yes","X5R","20%","","6.3","28.09","34.33"
"42.09","49.22","470nF","KON 470nF X5R 6.3V SMD 20%","C5","CAPC0603X33N","Top","24921","1","270","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","42.09","49.22"
"31.19","49.88","470nF","KON 470nF X5R 6.3V SMD 20%","C6","CAPC0603X33N","Top","24921","1","90","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","31.19","49.88"
"40.68","42.18","470nF","KON 470nF X5R 6.3V SMD 20%","C7","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","40.68","42.18"
"38.39","53.08","470nF","KON 470nF X5R 6.3V SMD 20%","C8","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","38.39","53.08"
"33.64","42.18","470nF","KON 470nF X5R 6.3V SMD 20%","C9","CAPC0603X33N","Top","24921","1","0","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","33.64","42.18"
"30.92","46.83","470nF","KON 470nF X5R 6.3V SMD 20%","C10","CAPC0603X33N","Top","24921","1","180","","01","","470n","24921","0603 (0201)","SMT","Yes","X5R","20%","","6.3V","30.92","46.83"
